yield,dose N,dose P,dose K,pH,prec 1,prec 2,prec 3,prec 4,prec 5,temp 1,temp 2,temp 3,temp 4,temp 5,soil P,soil K,soil Ca,soil Mg
5276,21,8.73362445414847,25,4.69,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,5.700000000000011e-5,1.4600000000000032e-4,1.8200000000000028e-4,1.3000000000000028e-5
7322,9,8.73362445414847,25,5.09,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.000000000000001e-5,8.100000000000006e-5,6.190000000000002e-4,4.5000000000000016e-5
5342,21,8.73362445414847,25,4.74,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.599999999999998e-5,1.1900000000000009e-4,7.030000000000003e-4,5.8000000000000034e-5
5516,21,8.73362445414847,25,4.7,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.2000000000000005e-5,6.800000000000007e-5,3.690000000000002e-4,3.8000000000000036e-5
7528,90,8.73362445414847,25,4.72,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.000000000000005e-5,5.9999999999999995e-5,2.56e-4,1.9e-5
4434,60,8.73362445414847,25,4.54,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,8.200000000000008e-5,1.300000000000001e-4,5.950000000000007e-4,5.400000000000007e-5
3913,21,8.73362445414847,25,4.95,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.799999999999992e-5,2.0999999999999958e-5,1.5199999999999976e-4,1.099999999999999e-5
8987,9,8.73362445414847,25,4.77,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.3999999999999995e-5,7.300000000000005e-5,6.490000000000007e-4,4.900000000000005e-5
4283,0,0,0,5.24,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,1.0699999999999997e-4,1.0899999999999998e-4,1.4999999999999985e-4,1.3999999999999991e-5
2844,45,8.73362445414847,25,5.12,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,4.2000000000000045e-5,2.6000000000000026e-5,2.8700000000000047e-4,5.400000000000008e-5
3719,15,8.73362445414847,25,5.07,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,9.200000000000011e-5,5.4000000000000066e-5,3.4300000000000026e-4,5.300000000000008e-5
6844,30,8.73362445414847,25,4.99,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,7.200000000000004e-5,4.800000000000006e-5,4.4600000000000043e-4,6.800000000000012e-5
4324,15,8.73362445414847,25,4.81,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,3.200000000000003e-5,3.2000000000000066e-5,2.9800000000000063e-4,5.100000000000012e-5
3618,0,8.73362445414847,25,4.98,72,114.35,62.9,140.2,69.525,1.5062508753501402,10.732586094866797,15.94,16.6315,15.150634057971015,6.999999999999995e-5,8.299999999999996e-5,5.979999999999992e-4,8.099999999999999e-5
5100,0,0,0,4.93,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,3.500000000000003e-5,2.2700000000000037e-4,4.720000000000003e-4,4.600000000000007e-5
4680,90,8.73362445414847,25,4.85,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,9.000000000000019e-6,6.500000000000016e-5,2.1300000000000057e-4,1.3000000000000042e-5
6064,0,8.73362445414847,25,5.27,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,8.000000000000003e-6,5.3000000000000055e-5,1.5900000000000007e-4,4.000000000000006e-6
3710,9,8.73362445414847,25,5.02,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,7.400000000000002e-5,9.5e-5,2.639999999999998e-4,1.3999999999999998e-5
3664,21,8.73362445414847,25,5.15,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,1.1999999999999994e-5,5.9000000000000025e-5,1.619999999999999e-4,1.300000000000001e-5
4622,30,8.73362445414847,25,4.94,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,6.420274862701221e-4,9.993579725137304e-5,2.128632481454245e-4,7.994863780109835e-6
6874,60,8.73362445414847,25,4.93,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,9.000000000000022e-6,5.8000000000000116e-5,1.2800000000000024e-4,7.000000000000017e-6
3020,30,8.73362445414847,25,5.18,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,1.5999999999999996e-5,9.900000000000002e-5,5.1e-4,5.0000000000000036e-5
2116,21,8.73362445414847,25,5.15,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,3.999999999999999e-5,1.1699999999999998e-4,3.3999999999999997e-4,4.1000000000000014e-5
4168,15,8.73362445414847,25,5.3,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,1.4999999999999975e-5,9.89999999999999e-5,4.849999999999996e-4,5.299999999999999e-5
6243,45,8.73362445414847,25,5.09,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,7.000000000000011e-6,4.8000000000000116e-5,5.3000000000000096e-5,4.00000000000001e-6
3167,9,8.73362445414847,25,4.34,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,5.100000000000001e-5,4.2900000000000045e-4,0.0011300000000000006,1.4400000000000017e-4
